,title,author_last,author_first
1138,vinegar hill,ansay, a manette 
1139,my sweet audrina,andrews, v c 
1140,heads you win,archer, jeffrey
1141,bad kitty goes on vacation,bruel, nick
1142,the roly poly spider,sardegna, jill 
1143,bad kitty school daze,bruel, nick 
1144,pete the cat i love my white shoes,litwin, eric 
1145,pete the cat and the bedtime blues,dean, kim
1146,locker hero,russell, rachel ren be
1147,middle school mayhem,russell, rachel ren e
1148,over the rainbow,puybaret, eric 
1149,where the heart is,letts, billie
1150,skippyjon jones cirque de ole,schachner, judith byron 
1151,the chronicles of narnia cd ,lewis, c s 
1152,the last kids on earth ,brallier, max
1153,going to the sea park,mayer, mercer
1154,morris the moose,wiseman, bernard 
1155,morris and boris at the circus,wiseman, bernard 
1156,the witch who was afraid of witches,low, alice 
1157,henry babysits,quackenbush, robert m 
1158,a pirate s night before christmas,yates, philip
1159,i ve seen santa ,bedford, david
1160,mooseltoe,palatini, margie 
1161,mortimer s christmas manger,wilson, karma
1162,scary stories for young foxes,heidicker, christian mckay
1163,the ballad of songbirds and snakes,collins, suzanne 
1164,the song that never ends,banks, steven
1165,the princess of pink slumber party,kann, victoria 
1166,the bad guys in cut to the chase,blabey, aaron
1167,with the fire on high,acevedo, elizabeth
1168,more spaghetti i say ,gelman, rita golden 
1169,adventures of little bear,minarik, else holmelund 
1170,seekers of the wild realm,ott, alexandra
1171,sneezy the snowman,wright, maureen 
1172,i need my monster,noll, amanda 
1173,a tale dark grimm,gidwitz, adam 
1174,catch ,heller, joseph 
1175,the merchant of death,machale, d j 
1176,the wolf in underpants freezes his buns off,lupano, wilfrid
1177,the wanderer,creech, sharon 
1178,happy st patrick s day clifford ,lee, quinlan b 
1179,the sky is falling ,jordan, apple 
1180,the helmet,hapka, cathy 
1181,jurassic park the movie storybook,mason, jane 
1182,six of crows,bardugo, leigh 
1183,the wild robot,brown, peter
1184,ten timid ghosts,o connell, jennifer
1185,i m a frog ,willems, mo
1186,waiting is not easy ,willems, mo 
1187,spongebob s easter parade,banks, steven
1188,goosebumps living dummy collection,stine, r l 
1189,minecraft the end,valente, catherynne m 
1190,life on mars,brown, jennifer
1191,a shocker on shock street,stine, r l 
1192,happy narwhalidays,clanton, ben
1193,purple pickle juice,farber, erica 
1194,splat the cat blow snow blow,hsu lin, amy
1195,dewdrop,o neill, katie
1196,ghost beach,stine, r l 
1197,unicorn day,murray, diana
1198,willodeen,applegate, katherine
1199,duck duck dinosaur bubble blast,george, k 
1200,princess jellyfish,higashimura, akiko
1201,clark the shark and the big book report,hale, bruce
1202,meet the pals,fox, jennifer
1203,dog man unleashed,pilkey, dav
1204,captain underpants and the revolting revenge of the radioactive robo boxers the tenth epic novel,pilkey, dav
1205,queen of air and darkness,clare, cassandra
1206,tales of dragons and monsters,thomas, tig
1207,pete the cat and the cool caterpillar,dean, james
1208,bird squirrel on fire ,burks, james
1209,pretty good magic,dubowski, cathy east 
1210,the incredibly dead pets of rex dexter,reynolds, aaron
1211,one day at horrorland ,stine, r l 
1212,skippyjon jones,schachner, judith byron 
1213,splat the cat makes dad glad,heyman, alissa
1214,finn flips,meister, cari
1215,a ghost named fred,benchley, nathaniel
1216,the rainbow fish,pfister, marcus 
1217,the history of the u s air force,anderton, david a 
1218,donut feed the squirrels,song, mika
1219,chicken on a broom,lehrhaupt, adam 
1220,paddington and the magic trick,bond, michael
1221,gilbert the surfer dude,degroat, diane
1222,the scarecrow walks at midnight,stine, r l 
1223,alamo all stars,hale, nathan
1224,big bad ironclad a civil war steamship showdown,hale, nathan
1225,ghost in the mirror,stine, r l 
1226,the robo battle of mega tortoise vs hazard hare a graphic novel,peters, stephanie true
1227,owly ,runton, andy
1228,the berenstain bears around the world,berenstain, mike
1229,peter ernesto ,annable, graham
1230,bird squirrel on the run ,burks, james
1231,revenge of the dinosaurs,stone, tom b 
1232,brobots and the mecha malarkey ,torres, j 
1233,sparkling jewel,green, d l 
1234,truck full of ducks,burach, ross
1235,bear stays up for christmas,wilson, karma 
1236,margret h a rey s merry christmas curious george,hapka, cathy 
1237,kristy s big day a graphic novel,galligan, gale
1238,if you take a mouse to the movies,numeroff, laura joffe 
1239,i survived the great chicago fire ,tarshis, lauren
1240,a winter s nap,sacks, marcy goldberg
1241,curious george and the ice cream surprise,perez, monica 
1242,hot dog,coxe, molly 
1243,simon vs the homo sapiens agenda,albertalli, becky 
1244,the maze runner,dashner, james
1245,the snowy day,milbourne, anna 
1246,the jacket i wear in the snow,neitzel, shirley 
1247,mouse s first snow,thompson, lauren
1248,the scorch trials,dashner, james
1249,biscuit book ,capucilli, alyssa satin
1250,biscuit and the kittens book ,capucilli, alyssa satin
1251,the death cure,dashner, james
1252,the kill order,dashner, james
1253,sonic the hedgehog ,flynn, ian
1254,my v book ,moncure, jane belk 
1255,i spy i love you,marzollo, jean 
1256,ballet school,harimann, sierra 
1257,pinkalicious and the pinkatastic zoo day,kann, victoria 
1258,we all fall for apples,herman, emmi s 
1259,duck ,mckinlay, megan
1260,the sun is also a star,yoon, nicola 
1261,the magic misfits,harris, neil patrick
1262,the wide window,snicket, lemony 
1263,the reptile room,snicket, lemony 
1264,the bad beginning,snicket, lemony 
1265,ocean of color,scollon, bill
1266,it s valentine s day,prelutsky, jack 
1267,a world full of monsters ,mcqueen, john troy 
1268,i love you dad,arno, iris hiskey 
1269,the second story,harris, neil patrick
1270,pinkie promise,kann, victoria 
1271,i am amelia earhart,meltzer, brad
1272,ten apples up on top ,seuss,
1273,all sorts of clothes,reidy, hannah 
1274,she persisted american women who changed the world,clinton, chelsea
1275,the magic misfits the minor third,harris, neil patrick
1276,i like things ,hillert, margaret
1277,roller coaster,perez, monica 
1278,gus loses a tooth,remkiewicz, frank 
1279,fancy nancy and the delectable cupcakes,o connor, jane 
1280,dance ballerina,marks, cathy
1281,waking beauty,wilcox, leah 
1282,to sleep in a sea of stars,paolini, christopher
1283,biscuit s picnic,capucilli, alyssa satin
1284,my best friend is out of this world,albee, sarah
1285,arthur s first sleepover,brown, marc tolon 
1286,go dog go ,eastman, p d 
1287,bunny race,maccarone, grace 
1288,fancy nancy tea for two,o connor, jane 
1289,pooh s easter egg hunt,gaines, isabel 
1290,the ickabog,rowling, j k 
1291,nina nina star ballerina,o connor, jane 
1292,fancy nancy hair dos and hair don ts,o connor, jane 
1293,curious george plants a tree,perez, monica 
1294,fancy nancy budding ballerina,o connor, jane
1295,run to the rainbow ,hillert, margaret 
1296,pinkalicious the pinkerrific playdate,kann, victoria 
1297,the berenstain bears and too much birthday,berenstain, stan
1298,fancy nancy puppy party,o connor, jane
1299,the day the teacher went bananas,howe, james
1300,don t call me prune face ,ahearn, janet reed 
1301,my teacher fried my brains,coville, bruce 
1302,the adventures of captain underpants,pilkey, dav 
1303,the smuggler s treasure,buckey, sarah masters
1304,larry makes a choice,poth, karen
1305,the mess detectives and the case of the lost temper,poth, karen 
1306,mac and cheese and the perfect plan,weeks, sarah 
1307,dooley makes friends,watkins, kate
1308,bob and larry in the case of the missing patience,poth, karen 
1309,explorer extraordinaire ,o connor, jane 
1310,fancy nancy and the sensational babysitter,o connor, jane 
1311,if you give a mouse a brownie,numeroff, laura joffe
1312,the berenstain bears bedtime story,berenstain, stan
1313,dragons love tacos,rubin, adam
1314,ham helsing vampire hunter ,moyer, rich
1315,among the hidden,haddix, margaret peterson 
1316,the surprise attack of jabba the puppett an origami yoda book,angleberger, tom
1317,please don t go ,wilhelm, hans 
1318,best dad in the sea,tyler, amy j 
1319,biscuit,capucilli, alyssa satin
1320,arthur s reading race,brown, marc tolon 
1321,pete s big lunch,dean, james
1322,sofia valdez future prez,beaty, andrea
1323,the bench,meghan,
1324,the cool bean,john, jory
1325,discovering butterflies,florian, douglas
1326,the berenstain bears get their kicks,berenstain, stan
1327,sulwe,nyong o, lupita
1328,pinkalicious flower girl,kann, victoria 
1329,fancy nancy at the museum,o connor, jane 
1330,fancy nancy and the too loose tooth,o connor, jane 
1331,the secret science project that almost ate the school,sierra, judy 
1332,spectacular spectacles,o connor, jane 
1333,cows can t jump,reisman, dave
1334,the berenstain bears and too much junk food,berenstain, stan
1335,barbie and the three musketeers,man kong, mary 
1336,barbie a day at the fair,pugliano, carol 
1337,speak up,paul, miranda
1338,a way with wild things,theule, larissa
1339,jack s worry,zuppardi, sam
1340,moon boy,brenner, barbara
1341,the lonely library,ostby, kristin
1342,the berenstain bears and the slumber party,berenstain, stan jan
1343,dad s car wash,sutherland, harry a 
1344,spaghetti in a hot dog bun having the courage to be who you are,dismondy, maria 
1345,hooray for reading day ,cuyler, margery 
1346,you matter,robinson, christian
1347,project hail mary,weir, andy
1348,normal people a novel,rooney, sally
1349,the magic school bus looking for liz,mitchell, joe
1350,the berenstain bears new baby,berenstain, stan
1351,singer to the sea god ,alcock, vivien 
1352,the midnight library,haig, matt
1353,spectacular stories for curious kids,sullivan, jesse
1354,the phantom of the theater,stilton, geronimo
1355,fancy nancy and the mermaid ballet,o connor, jane 
1356,home stinky home,lagonegro, melissa 
1357,the berenstain bears and the trouble with chores,berenstain, stan
1358,alien escape,stilton, geronimo
1359,a good team,burnell, heather ayris
1360,zane and the hurricane a story of katrina,philbrick, w r 
1361,survivors true stories of children in the holocaust,zullo, allan 
1362,escape to freedom brave young refugees,zullo, allan
1363,the ruins of gorlan,flanagan, john
1364,the sisterhood of the traveling pants,brashares, ann 
1365,mighty jack ,hatke, ben 
1366,happy christmas to all ,compton, kenn 
1367,the berenstain bears merry christmas,berenstain, stan jan 
1368,kingdom of color,lagonegro, melissa 
1369,curious george snowy day,moscovich, rotem 
1370,dog breath the horrible terrible trouble with hally tosis,pilkey, dav
1371,biscuit s pet play christmas,capucilli, alyssa satin
1372,arthur s perfect christmas,brown, marc tolon 
1373,the berenstain bears christmas tree,berenstain, stan
1374,reindeer s first christmas,richards, caroline editor 
1375,oh the places you ll go ,seuss, dr 
1376,splendiferous christmas,o connor, jane 
1377,the secret valentine,london, jonathan
1378,knuffle bunny a cautionary tale,willems, mo 
1379,curious george and friends,rey, margret
1380,maybe you should fly a jet maybe you should be a vet ,lesieg, theo
1381,if i ran the dog show,rabe, tish 
1382,wacky wednesday,lesieg, theo 
1383,where s jaq a story about being brave,ball, jacqueline a 
1384,we are in a book ,willems, mo 
1385,skippyjon jones and the big bones,schachner, judith byron 
1386,those darn squirrels ,rubin, adam
1387,zoo a big fold out counting book,froeb, lori c 
1388,the lark who had no song,nystrom, carolyn
1389,orca song,armour, michael c 
1390,shark watch,michaels, joel
1391,way down deep in the deep blue sea,peck, jan 
1392,snap ,mayo, margaret and ayliffe
1393,animals at home,lock, david 
1394,in the small small pond ,fleming, denise
1395,el pop,carr, aaron 
1396,the forever girl a novel,shalvis, jill
1397,the testaments,atwood, margaret
1398,the day the crayons quit,daywalt, drew 
1399,the foolish tortoise,buckley, richard
1400,the greedy python,buckley, richard
1401,too many unicorns,copper, jenny
1402,the zoo book,pfloog, jan 
1403,i know my daddy loves me,wolfgram, barbara
1404,the pigeon finds a hot dog ,willems, mo 
1405,knuffle bunny too a case of mistaken identity,willems, mo 
1406,pattern backpack ,pluckrose, henry
1407,monarch butterflies,murray, julie
1408,weird sea creatures,hoyt, erich 
1409,animal strike at the zoo it s true ,wilson, karma 
1410,moon earth s best friend,mcanulty, stacy
1411,over the deep blue sea,ikeda, daisaku 
1412,in the ocean,byrnes, trish
1413,the hats of bartholomew cubbins,seuss, dr 
1414,olivia the princess,shaw, natalie 
1415,belling the tiger,stolz, mary
1416, chupacabra ,rubin, adam
1417,lilly s purple plastic purse,henkes, kevin
1418,lilly s big day,henkes, kevin
1419,horton hatches the egg,seuss, dr 
1420,cats,amstutz, lisa j 
1421,pete the cat five little pumpkins,dean, james
1422,octopuses underwater jet propulsion,llamas, andreu 
1423,dewey there s a cat in the library ,myron, vicki 
1424,nutmeg,lucas, david
1425,quilt of dreams,dwyer, mindy
1426,sweetwater gap,hunter, denise
1427,black is a rainbow color,joy, angela
1428,the wolf in underpants,lupano, wilfrid
1429,the yawns are coming ,eliopoulos, chris
1430,the three billy goats buenos,elya, susan middleton
1431,in a dark dark wood,ware, ruth
1432,the bell witch an american haunting being the eye witness account of richard powell concerning the bell witch haunting of robertson county tennessee ,monahan, brent 
1433,drowning ruth,schwarz, christina
1434,skippyjon jones lost in spice,schachner, judith byron 
1435,monty s magnificent mane,o neill, gemma
1436,arthur s off to school,brown, marc tolon 
1437,every night is pizza night,l pez alt, j kenji
1438,teacher s pets,mills, liz 
1439,the berenstain bears and the messy room,berenstain, stan
1440,splat the cat,scotton, rob 
1441,clifford the firehouse dog,bridwell, norman 
1442,clifford s happy easter,bridwell, norman
1443,clifford s first day of school and another clifford story,bridwell, norman 
1444,arthur s thanksgiving,brown, marc tolon 
1445,the pigeon needs a bath ,willems, mo 
1446,the pigeon wants a puppy ,willems, mo 
1447,don t let the pigeon stay up late ,willems, mo 
1448,la princesa and the pea,elya, susan middleton
1449,the berenstain bears meet santa bear,berenstain, stan
1450,my favorite christmas stories,walters, catherine
1451,sharp objects,flynn, gillian
1452,there s an elf in your book,fletcher, tom
1453,if you give a cat a cupcake,numeroff, laura joffe 
1454,clifford the small red puppy,bridwell, norman 
1455,roses are pink your feet really stink,de groat, diane 
1456,froggy s baby sister,london, jonathan
1457,froggy rides a bike,london, jonathan
1458,dinosaurs love underpants,freedman, claire 
1459,i love you through and through,rossetti shustak, bernadette 
1460,jonathan and his mommy ,smalls, irene 
1461,pete the cat s groovy imagination ,dean, james 
1462,bonny s big day,herriot, james 
1463,the little snowplow wishes for snow,koehler, lora
1464,the pigeon has to go to school ,willems, mo
1465,jennifer s room,utton, peter 
1466,the polar express,van allsburg, chris 
1467,slugs in love,pearson, susan 
1468,love splat,scotton, rob 
1469,pizza and taco ,shaskan, stephen
1470,people of texas,wade, mary dodson 
1471,an elephant piggie biggie ,willems, mo
1472,the wolf in underpants at full speed,lupano, wilfrid
1473,a fishy story,donovan, gail
1474,texas,thompson, kathleen 
1475,max the brave,vere, ed
1476,without you,weeks, sarah
1477,stars stars stars,barner, bob 
1478,happy pig day ,willems, mo 
1479,clifford visits the zoo,bridwell, norman
1480,i am lucille ball,meltzer, brad
1481,i am sacagawea,meltzer, brad
1482,pinkalicious and the pink drink,kann, victoria 
1483,pete the cat goes camping,dean, james
1484,the tooth book ,lesieg, theo 
1485,april foolishness,bateman, teresa
1486,stowaway ,soderberg, erin
1487,mouse soup ,lobel, arnold 
1488,little bunny bobkin,riordan, james
1489,there was an old lady who swallowed a turkey ,colandro, lucille
1490,scholastic s the magic school bus gets ants in its pants a book about ants,beech, linda 
1491,the magic school bus sees stars,cole, joanna
1492,the magic school bus wet all over,relf, patricia
1493,dora s eggs,sykes, julie 
1494,packs strength in numbers,salyer, hannah
1495,underground subway systems around the world,kim, uijung
1496,outside in,underwood, deborah
1497,a polar bear in the snow,barnett, mac
1498,there was an old lady who swallowed a frog ,colandro, lucille
1499,if you give a pig a pancake,numeroff, laura joffe 
1500,if you take a mouse to school,numeroff, laura joffe 
1501,llama llama time to share,dewdney, anna 
1502,lost at sea,donovan, gail
1503,the copycat fish,donovan, gail
1504,a busy creature s day eating,willems, mo
1505,girls in pants the third summer of the sisterhood,brashares, ann 
1506,forever in blue the fourth summer of the sisterhood,brashares, ann 
1507,the blobfish book,olien, jessica
1508,hello my name is octicorn,diller, kevin
1509,if you ever want to bring an alligator to school don t ,parsley, elise
1510,cat s knees bee s whiskers,nightingale, sandy 
1511,turtle tale,asch, frank
1512,dolphins ,bokoske, sharon 
1513,dolphin,morris, robert a 
1514,where monsters live,behling, steve
1515,waiting,henkes, kevin 
1516,owen,henkes, kevin 
1517,the big fish an alaskan fairy tale,wakeland, marcia 
1518,clifford s christmas,bridwell, norman 
1519,clifford goes to hollywood,bridwell, norman 
1520,clifford s first snow day,bridwell, norman 
1521,hooray for fish ,cousins, lucy 
1522,tickly octopus,galloway, ruth
1523,killer whales ,palmer, sarah
1524,dolphin tale a tale of true friendship,ryan, emma 
1525,battle of the butts the science behind animal behinds,rish, jocelyn
1526,the aquanaut,heinerth, jill
1527,narwhal s otter friend,clanton, ben
1528,deep underwater,luxbacher, irene
1529,lift,l , minh
1530,seabird,holling, holling clancy 
1531,peeping beauty,auch, mary jane
1532,the princess and the pizza,auch, mary jane 
1533,making friends,mahy, margaret
1534,narwhals,palmer, sarah
1535,tex,ranville, myrelene 
1536,mr reeze s sneezes,parkinson, curtis 
1537,sammy and the dinosaurs,whybrow, ian 
1538,rosie s walk,hutchins, pat
1539,little bot and sparrow,parker, jake
1540,amelia bedelia and the surprise shower,parish, peggy
1541,the end almost ,benton, jim 
1542,sea turtles,murray, julie
1543,carl s birthday,day, alexandra 
1544,crickwing,cannon, janell
1545,lyle and the birthday party,waber, bernard 
1546,pete the cat scuba cat,dean, james
1547,clumsy crab,galloway, ruth
1548,harry and the hot lava,robertson, chris
1549,if you decide to go to the moon,mcnulty, faith 
1550,my very own octopus,most, bernard 
1551,kitten construction company meet the house kittens,green, john
1552,jim hedgehog and the lonesome tower ,hoban, russell 
1553,madison s new buddy,velasquez, crystal
1554,peanut butter and jelly a narwhal and jelly book,clanton, ben 
1555,bright stanley and the cave monster,buckingham, matt 
1556,super narwhal and jelly jolt,clanton, ben 
1557,fidgety fish,galloway, ruth
1558,the miserable mill,snicket, lemony 
1559,forge,anderson, laurie halse 
1560,chains seeds of america,anderson, laurie halse 
1561,a line in the sand the alamo diary of lucinda lawrence gonzales texas ,garland, sherry 
1562,the winter of red snow the revolutionary war diary of abigail jane stewart,gregory, kristiana 
1563,the princess diaries,cabot, meg 
1564,christmas after all the great depression diary of minnie swift,lasky, kathryn 
1565,a journey to the new world the diary of remember patience whipple,lasky, kathryn 
1566, birthdays,mass, wendy
1567,iggy pig s snowball fight,french, vivian
1568,zack s alligator goes to school,mozelle, shirley 
1569,out for a walk,wakayama, shizuko
1570,pete the cat the first thanksgiving,dean, kim
1571,strays,london, c alexander
1572,pete the cat and the bad banana,dean, james
1573,clifford we love you,bridwell, norman 
1574,clifford s first school day,bridwell, norman 
1575,pete the cat out of this world,dean, james
1576,pete the cat and his four groovy buttons,litwin, eric 
1577,shark lady the true story of how eugenie clark became the ocean s most fearless scientist,keating, jess
1578,love from the crayons,daywalt, drew
1579,santa s secret helper,clements, andrew
1580,i like pumpkins,smath, jerry 
1581,the cats burglar,parish, peggy
1582,dinosaurs before dark,osborne, mary pope
1583,into the clouds the race to climb the world s most dangerous mountain,olson, tod
1584,look and find dinosaurs,terrio, bob 
1585,zathura a space adventure,van allsburg, chris 
1586,mummies in the morning,osborne, mary pope 
1587,the knight at dawn,osborne, mary pope
1588,divergent,roth, veronica 
1589,the hate u give,thomas, angie
1590,they both die at the end,silvera, adam
1591,afternoon on the amazon,osborne, mary pope
1592,night of the ninjas,osborne, mary pope
1593,pirates past noon,osborne, mary pope
1594,the start of me and you,lord, emery
1595,the summer i turned pretty trilogy,han, jenny 
1596,sunset of the sabertooth,osborne, mary pope
1597,midnight on the moon,osborne, mary pope
1598,carry on the rise and fall of simon snow,rowell, rainbow
1599,if you give a pig a party,numeroff, laura joffe 
1600,dolphins at daybreak,osborne, mary pope 
1601,when you were mine,serle, rebecca 
1602,i like him he likes her,naylor, phyllis reynolds 
1603,dinosaurs before dark graphic novel ,laird, jenny
1604,the knight at dawn the graphic novel,laird, jenny
1605,no david ,shannon, david
1606,i spy a to z a book of picture riddles,wick, walter 
1607,i spy ultimate challenger a book of picture riddles,wick, walter 
1608,the brave learner finding everyday magic in homeschool learning and life,bogart, julie
1609,homeschool bravely how to squash doubt trust god and teach your child with confidence,erickson, jamie
1610,lions at lunchtime,osborne, mary pope 
1611,bone gap,ruby, laura 
1612,defy the stars,gray, claudia
1613,scythe,shusterman, neal
1614,dangerous,hale, shannon 
1615,the rest of the story,dessen, sarah
1616,the toll,shusterman, neal
1617,matilda,dahl, roald 
1618,thunderhead,shusterman, neal
1619,firelight,kibuishi, kazu
1620,escape from lucien,kibuishi, kazu
1621,the last council,kibuishi, kazu
1622,the stonekeeper s curse,kibuishi, kazu
1623,inheritance or the vault of souls,paolini, christopher 
1624,the battle of the labyrinth,riordan, rick 
1625,the last olympian,riordan, rick 
1626,tristan strong destroys the world ,mbalia, kwame 
1627,the burning bridge,flanagan, john
1628,the guest list,foley, lucy
1629,the christie affair,gramont, nina de
1630,good girl bad blood,jackson, holly
1631,king of scars,bardugo, leigh
1632,eleanor oliphant is completely fine,honeyman, gail
1633,cat kid comic club ,pilkey, dav
1634,serpent dove,mahurin, shelby
1635,whispers,jackson, lisa
1636,hide and seek baby shark doo doo doo doo doo doo,bajet, john john
1637,the lion king,disney, walt
1638,anxious people,backman, fredrik
1639,amal unbound,saeed, aisha
1640,just mercy a story of justice and redemption,stevenson, bryan
1641,suee and the shadow,ly, ginger
1642,the outsiders,hinton, s e 
1643,the underground railroad a novel,whitehead, colson
1644,song of solomon,morrison, toni 
1645,the nickel boys a novel,whitehead, colson
1646,dead wake the last crossing of the lusitania,larson, erik
1647,me talk pretty one day,sedaris, david 
1648,into thin air a personal account of the mount everest disaster,krakauer, jon 
1649,akissi tales of mischief,abouet, marguerite
1650,bossypants,fey, tina
1651,yes please,poehler, amy
1652,to all the boys i ve loved before,han, jenny 
1653,awkward,chmakova, svetlana
1654,book lovers,henry, emily
1655,p s i still love you,han, jenny 
1656,always and forever lara jean,han, jenny
1657,the kite runner,hosseini, khaled 
1658,the lions of fifth avenue,davis, fiona
1659,peek a boo zoo ,cabrera, jane
1660,little miss spider a christmas wish,kirk, david
1661,i love you so,richmond, marianne 
1662,who do you love a touch and feel book,wang, margaret
1663,oh bother someone s jealous ,birney, betty g 
1664,each kindness,woodson, jacqueline 
1665,toothless wonder ,park, barbara 
1666,ramona quimby age ,cleary, beverly
1667,happy birthday molly a springtime story,tripp, valerie
1668,biscuit and the frog book ,capucilli, alyssa satin
1669,the baby bunny ,hillert, margaret
1670,i spy little hearts,marzollo, jean 
1671,biscuit and the duck book ,capucilli, alyssa satin
1672,biscuit and the cat book ,capucilli, alyssa satin
1673,biscuit and the nest book ,capucilli, alyssa satin
1674,the middle place,corrigan, kelly
1675,stop train stop a thomas the tank engine story,awdry, rev w 
1676,jewels for a princess,homberg, ruth 
1677,ghosts in the house ,kohara, kazuno 
1678,show way,woodson, jacqueline
1679,corrie ten boom her story the hiding place tramp for the lord jesus is victor ,ten boom, corrie 
1680,the lighthouse children,hoff, syd
1681,smiley shark,galloway, ruth
1682, billy goats gruff,dewan, ted 
1683,camilla s new hairdo ,tusa, tricia 
1684,fancy nancy and the dazzling jewels,o connor, jane
1685, sticks,coxe, molly
1686,god is bigger than the boogie man and other bedtime stories,kenney, cindy
1687,night gliders,ryder, joanne 
1688,rebel princess guide,west, tracey
1689,walt disney s peter pan,barry,
1690,walt disney s pinocchio,coco, eugene bradley 
1691,where is boots a lift the flap story,thorpe, kiki 
1692,the sick bug goes to school,bazil, susie 
1693,what about bear ,bloom, suzanne
1694,wag a tail,ehlert, lois
1695,luciana braving the deep,teagan, erin
1696,the submarine,parent, nancy
1697,rainbow fish and the big blue whale,pfister, marcus 
1698,pigs can t fly ,cort, ben
1699,luciana,teagan, erin
1700,biscuit and the box book ,capucilli, alyssa satin
1701,i am small,dodd, emma
1702,the gift of ramadan,lumbard, alexis york
1703,i am she ra ,sazaklis, john
1704,the golden egg book,brown, margaret wise
1705,fancy nancy,o connor, jane 
1706,grasshopper on the road ,lobel, arnold 
1707,biscuit s snowy day,capucilli, alyssa satin
1708,there is a bird on your head ,willems, mo
1709,where is the great barrier reef ,medina, nico
1710,seashore surprises ,wyler, rose 
1711,beautiful my mane in the wind,petroski, catherine
1712,heidi,spyri, johanna
1713,what do sharks eat for dinner questions and answers about sharks,berger, melvin 
1714,the nose book,perkins, al
1715,my first church book,hermann, beth 
1716,the rugrats versus the monkeys,david, luke 
1717,how to be a super villain,yu, rachel
1718,arthur s family vacation,brown, marc tolon 
1719,nancy clancy star of stage and screen,o connor, jane
1720,clifford grows up,bridwell, norman 
1721,junie b first grader aloha ha ha ,park, barbara 
1722,rosie s babies,waddell, martin 
1723,fur and feathers,halfmann, janet 
1724,luna loves library day,coelho, joseph
1725,peek a flap who,garnett, jaye
1726,splat the cat and the late library book,meister, cari
1727,bark george,feiffer, jules 
1728,biscuit s trick book ,capucilli, alyssa satin
1729,biscuit and the hen book ,capucilli, alyssa satin
1730,brave dave and jane,bailey, claudia 
1731,the ball book ,hillert, margaret
1732,the great race,awdry, w 
1733,whose tail is this ,belmont, claire
1734,the berenstain bears please thank you book,berenstain, mike
1735,i love tractors trucks diggers and dumpers,creese, sarah
1736,chug chug tractor the best tractor book ever ,sirett, dawn 
1737,going to sleep on the farm,lewison, wendy cheyette
1738,peppa and the muddy moon puddles,phoenix international,
1739,it all begins with jelly beans,weetman, nova
1740,glitter girls and the great fake out,cabot, meg 
1741,a woman s walk with god,george, elizabeth
1742,discerning the voice of god how to recognize when god speaks,shirer, priscilla evans 
1743,god gave us so much,bergren, lisa tawn 
1744,angel cat sugar a new friend,bryant, megan e 
1745,there was an old lady who swallowed a fly,taback, simms 
1746,we are water protectors,lindstrom, carole
1747,ways to make sunshine,watson, ren e
1748,spiderwort and the princess of haiku,sweet, j h 
1749,diary of a wimpy kid rodrick rules,kinney, jeff 
1750,first day critter jitters,john, jory
1751,the nesting place it doesn t have to be perfect to be beautiful,smith, myquillyn 
1752,a pony for a princess,posner sanchez, andrea 
1753,my hero,jordan, apple 
1754,kiss the frog,lagonegro, melissa
1755,the resolution for women,shirer, priscilla evans 
1756,meet kirsten an american girl,shaw, janet beeler
1757,the love languages of children,chapman, gary d 
1758,eliminate chaos the step process to organize your home life,leist, laura 
1759,little by little,stewart, amber
1760,pete the cat and his magic sunglasses,dean, james
1761,see the cat three stories about a dog,larochelle, david
1762,the itchy book ,pham, leuyen
1763,silly tilly s thanksgiving dinner,hoban, lillian 
1764,splat the cat takes the cake,hsu lin, amy 
1765,jesus calling the story of christmas,young, sarah
1766,my heart s cry,lotz, anne graham
1767,to live is christ to die is gain,chandler, matt
1768,the life changing magic of tidying up the japanese art of decluttering and organizing,kondo, marie
1769,ten dollar dinners recipes and tips to elevate simple fresh meals any night of the week,d arabian, melissa 
1770,anne of avonlea,montgomery, l m 
1771,the tail of little skunk,arnold, marsha diane
1772,biscuit s valentine s day,capucilli, alyssa satin
1773,the unicorns who saved christmas,heider, mary winn
1774,the berenstain bears get in a fight,berenstain, stan
1775,i wanna iguana,orloff, karen kaufman 
1776,rowley jefferson s awesome friendly spooky stories,kinney, jeff
1777,pea bee jay ,smith, brian
1778,just like dora ,inches, alison
1779,the rainforest race,bergen, lara rice
1780,diego saves the tree frogs,willson, sarah 
1781,the magic school bus and the missing tooth,lane, jeanette 
1782,just pick us please ,mayer, mercer
1783,the amelia bedelia treasury,parish, peggy 
1784,in a people house,lesieg, theodore 
1785,before the ever after,woodson, jacqueline
1786,are you normal ,shulman, mark
1787,ponyella,numeroff, laura joffe 
1788,night of the moonjellies ,shasha, mark 
1789,paddy the puppy mia the mouse,small, lily
1790,bad kitty puppy s big day,bruel, nick
1791,clifford s spring clean up,bridwell, norman 
1792,guts,telgemeier, raina
1793,our friend hedgehog the story of us,castillo, lauren
1794,roller girl,jamieson, victoria
1795,it s not easy being big ,st pierre, stephanie 
1796,i spy a butterfly,marzollo, jean 
1797,i spy an apple,marzollo, jean 
1798,arthur s first kiss,brown, marc tolon 
1799,do not open this crate ,krensky, stephen 
1800,prayer in the night for those who work or watch or weep,harrison warren, tish
1801,diary of a wimpy kid greg heffley s journal,kinney, jeff 
1802,scruffy,parish, peggy 
1803,fox rabbit make believe ,ferry, beth
1804,the best nest,eastman, p d 
