,Title,Author_First,Author_Last,Num_Checkouts
141,pete the cat  rocking in my school shoes, eric,litwin,38
142,blow it up, erin,edison,38
143,kristys big day  a graphic novel, gale,galligan,38
144,the berenstain bears and the big red kite, stan,berenstain,37
145,pete the cat and the bad banana, james,dean,37
146,cliffords riddles, norman,bridwell,37
147,the berenstain bears and the bad influence, stan,berenstain,37
148,moo, matthew,van fleet,37
149,arthurs first sleepover, marc tolon,brown,37
150,hidden treasures, gail,donovan,37
151,dont let the pigeon drive the bus, mo,willems,37
152,cliffords valentines day, norman,bridwell,37
153,dawn and the impossible three  a graphic novel, gale,galligan,37
154,how to catch a unicorn, adam,wallace,37
155,harry potter and the chamber of secrets, j k,rowling,37
156,the bad seed, jory,john,37
157,the very busy spider, eric,carle,37
158,clifford we love you, norman,bridwell,37
159,the berenstain bears trouble at school, stan,berenstain,37
160,the rainbow fish, marcus,pfister,37
161,clifford goes to dog school, norman,bridwell,37
162,llama llama red pajama, anna,dewdney,37
163,the tooth book, theo,lesieg,36
164,diary of a wimpy kid  the getaway, jeff,kinney,36
165,im a unicorn, mallory,loehr,36
166,pete the cat the wheels on the bus, james,dean,36
167,the pigeon finds a hot dog, mo,willems,36
168,dog man  for whom the ball rolls, dav,pilkey,36
169,rainbow fish and the big blue whale, marcus,pfister,36
170,ten little ladybugs, melanie,gerth,36
171,fancy nancy bonjour butterfly, jane,oconnor,36
172,finding kindness, deborah,underwood,36
173,arthurs off to school, marc tolon,brown,36
174,the copycat fish, gail,donovan,35
175,the duckling gets a cookie, mo,willems,35
176,pete the cat  the great leprechaun chase, james,dean,35
177,a good girls guide to murder, holly,jackson,35
178,the personal librarian, marie,benedict,35
179,the cool bean, jory,john,35
180,the berenstain bears visit the firehouse, mike,berenstain,35
181,ultimate shark rumble, jerry,pallotta,35
182,creepy pair of underwear, aaron,reynolds,35
183,splat says thank you, rob,scotton,35
184,arthurs halloween, marc,brown,35
185,the berenstain bears at the superduper market, stan,berenstain,35
186,pokémon adventures v1, hidenori,kusaka,35
187,dinosaurs before dark graphic novel, jenny,laird,35
188,clifford and the big parade, norman,bridwell,35
189,snap, margaret and ayliffe,mayo,35
190,im a frog, mo,willems,35
191,the silent patient, alex,michaelides,34
192,kittens first full moon, kevin,henkes,34
193,the cat in the hat, dr,seuss,34
194,franklin and the baby, paulette,bourgeois,34
195,i am horton  based on dr seusss horton hears a who, cynthia,schumerth,34
196,tokyo ghoul  re, sui,ishida,34
197,diary of a wimpy kid  hard luck, jeff,kinney,34
198,who do you love  a touch and feel book, margaret,wang,34
199,pizza and taco, stephen,shaskan,33
200,the day the crayons quit, drew,daywalt,33
201,clifford the big red dog, norman,bridwell,33
202,dragons love tacos 2  the sequel, adam,rubin,33
203,fox in socks, dr,seuss,33
204,the bad guys in mission unpluckable, aaron,blabey,33
205,narwhals otter friend, ben,clanton,33
206,potty, leslie,patricelli,33
207,pokémon adventures v2, hidenori,kusaka,33
208,clifford grows up, norman,bridwell,33
209,the golden couple, greer,hendricks,33
210,diary of a wimpy kid  the deep end, jeff,kinney,33
211,the pigeon needs a bath, mo,willems,33
212,the bad guys, aaron,blabey,33
213,the pigeon has to go to school, mo,willems,33
